[2026-03-14T16:24:35.368Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-03-14T16:24:35.368Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFiD-vYSZviVYUb_rj3ij__anPXDTzYgEM86xQ.woff2 → 200 (?ms, ?B)
[2026-03-14T16:24:35.369Z] GET http://localhost:4400/artifacts/red-cross-first-online-donation.jpg → 404 (23ms, 3913B)
[2026-03-14T16:24:35.369Z] GET http://localhost:4400/artifacts/red-cross-credit-card-form.jpg → 404 (25ms, 4334B)
[2026-03-14T16:24:35.369Z] GET http://localhost:4400/artifacts/amnesty-international-email-receipt.jpg → 404 (25ms, 4343B)
[2026-03-14T16:24:35.369Z] GET http://localhost:4400/artifacts/helping-org-aol.jpg → 404 (25ms, 4323B)
[2026-03-14T16:24:35.369Z] GET http://localhost:4400/artifacts/justgiving-launches.jpg → 404 (25ms, 4327B)
[2026-03-14T16:24:35.369Z] GET http://localhost:4400/artifacts/salvation-army-ssl-donation-page.jpg → 404 (25ms, 4340B)
[2026-03-14T16:24:35.369Z] GET http://localhost:4400/artifacts/network-for-good-launches.jpg → 404 (42ms, 4333B)
[2026-03-14T16:24:35.370Z] GET http://localhost:4400/artifacts/red-cross-911-donations.jpg → 404 (44ms, 4331B)
[2026-03-14T16:24:35.377Z] GET http://localhost:4400/node_modules/vite/dist/client/env.mjs → 304 (18ms, ?B)
[2026-03-14T16:24:35.377Z] GET http://localhost:4400/node_modules/.vite/deps/chunk-HNT3PLDI.js?v=9bfe2023 → 200 (?ms, 2726B)
[2026-03-14T16:24:35.377Z] GET http://localhost:4400/node_modules/.vite/deps/chunk-LEX3GG7N.js?v=9bfe2023 → 200 (1ms, 4683B)
[2026-03-14T16:24:35.378Z] GET http://localhost:4400/node_modules/.vite/deps/chunk-5WRI5ZAA.js?v=9bfe2023 → 200 (?ms, 7184B)
[2026-03-14T16:24:35.378Z] GET http://localhost:4400/@id/__x00__astro:toolbar:internal → 304 (17ms, ?B)
[2026-03-14T16:24:35.397Z] GET http://localhost:4400/node_modules/.vite/deps/astro-BKQCAMZY.js?v=9bfe2023 → 200 (?ms, 20489B)
[2026-03-14T16:24:35.397Z] GET http://localhost:4400/node_modules/.vite/deps/audit-7NUPXPU7.js?v=9bfe2023 → 200 (?ms, 51832B)
[2026-03-14T16:24:35.397Z] GET http://localhost:4400/node_modules/.vite/deps/xray-XH6VIXDC.js?v=9bfe2023 → 200 (?ms, 5635B)
[2026-03-14T16:24:35.397Z] GET http://localhost:4400/node_modules/.vite/deps/settings-K4OHAGC2.js?v=9bfe2023 → 200 (1ms, 6305B)
[2026-03-14T16:24:35.398Z] GET http://localhost:4400/node_modules/.vite/deps/toolbar-OWACWLIF.js?v=9bfe2023 → 200 (?ms, 15702B)
[2026-03-14T16:24:35.398Z] GET http://localhost:4400/node_modules/.vite/deps/ui-library-EVFCBMCE.js?v=9bfe2023 → 200 (?ms, 28741B)
[2026-03-14T16:24:35.402Z] GET http://localhost:4400/node_modules/.vite/deps/chunk-WM2KMMIK.js?v=9bfe2023 → 200 (?ms, 1629B)
[2026-03-14T16:24:35.403Z] GET http://localhost:4400/node_modules/.vite/deps/chunk-ZUETELRC.js?v=9bfe2023 → 200 (?ms, 48630B)
[2026-03-14T16:24:35.403Z] GET http://localhost:4400/node_modules/.vite/deps/chunk-WTIA47ZU.js?v=9bfe2023 → 200 (?ms, 112523B)
[2026-03-14T16:24:35.403Z] GET http://localhost:4400/node_modules/.vite/deps/chunk-LEAOZWS7.js?v=9bfe2023 → 200 (?ms, 2369B)
[2026-03-14T16:24:35.403Z] GET http://localhost:4400/node_modules/.vite/deps/chunk-PXGSXSC7.js?v=9bfe2023 → 200 (?ms, 642B)
[2026-03-14T16:24:35.403Z] GET http://localhost:4400/node_modules/.vite/deps/chunk-WDCEFGHP.js?v=9bfe2023 → 200 (?ms, 205273B)
[2026-03-14T16:24:35.428Z] GET http://localhost:4400/artifacts/red-cross-first-online-donation.jpg → 404 (3ms, ?B)
[2026-03-14T16:24:35.433Z] GET http://localhost:4400/artifacts/red-cross-credit-card-form.jpg → 404 (2ms, ?B)
[2026-03-14T16:24:35.436Z] GET http://localhost:4400/artifacts/amnesty-international-email-receipt.jpg → 404 (3ms, ?B)
[2026-03-14T16:24:35.439Z] GET http://localhost:4400/artifacts/helping-org-aol.jpg → 404 (2ms, ?B)
[2026-03-14T16:24:35.441Z] GET http://localhost:4400/artifacts/justgiving-launches.jpg → 404 (2ms, ?B)
[2026-03-14T16:24:35.444Z] GET http://localhost:4400/artifacts/salvation-army-ssl-donation-page.jpg → 404 (1ms, ?B)
[2026-03-14T16:24:35.446Z] GET http://localhost:4400/artifacts/network-for-good-launches.jpg → 404 (1ms, ?B)
[2026-03-14T16:24:35.448Z] GET http://localhost:4400/artifacts/red-cross-911-donations.jpg → 404 (2ms, ?B)
[2026-03-14T16:24:35.450Z] GET http://localhost:4400/artifacts/aspca-convio-saas-form.jpg → 404 (3ms, ?B)
[2026-03-14T16:24:35.453Z] GET http://localhost:4400/artifacts/tsunami-relief-online-giving.jpg → 404 (4ms, ?B)
[2026-03-14T16:24:35.457Z] GET http://localhost:4400/artifacts/kiva-launches.jpg → 404 (1ms, ?B)
[2026-03-14T16:24:36.020Z] GET http://localhost:4400/artifacts/red-cross-first-online-donation.jpg → 404 (2ms, ?B)
[2026-03-14T16:24:36.023Z] GET http://localhost:4400/artifacts/red-cross-credit-card-form.jpg → 404 (2ms, ?B)
[2026-03-14T16:24:36.026Z] GET http://localhost:4400/artifacts/amnesty-international-email-receipt.jpg → 404 (2ms, ?B)
[2026-03-14T16:24:36.028Z] GET http://localhost:4400/artifacts/helping-org-aol.jpg → 404 (2ms, ?B)
[2026-03-14T16:24:36.030Z] GET http://localhost:4400/artifacts/justgiving-launches.jpg → 404 (2ms, ?B)
[2026-03-14T16:24:36.033Z] GET http://localhost:4400/artifacts/salvation-army-ssl-donation-page.jpg → 404 (2ms, ?B)
[2026-03-14T16:24:36.035Z] GET http://localhost:4400/artifacts/network-for-good-launches.jpg → 404 (1ms, ?B)
[2026-03-14T16:24:36.038Z] GET http://localhost:4400/artifacts/red-cross-911-donations.jpg → 404 (1ms, ?B)
[2026-03-14T16:24:36.039Z] GET http://localhost:4400/artifacts/aspca-convio-saas-form.jpg → 404 (2ms, ?B)
[2026-03-14T16:24:36.041Z] GET http://localhost:4400/artifacts/tsunami-relief-online-giving.jpg → 404 (3ms, ?B)
[2026-03-14T16:24:36.044Z] GET http://localhost:4400/artifacts/kiva-launches.jpg → 404 (1ms, ?B)
[2026-03-14T16:24:49.786Z] GET http://localhost:4400/exhibit/red-cross-wwi-poster → pending (?ms, ?B)
[2026-03-14T16:24:50.269Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&family=Playfair+Display:ital,wght@0,400;0,600;0,700;1,400&display=swap → 200 (?ms, 16765B)
[2026-03-14T16:24:50.269Z] GET http://localhost:4400/@vite/client → 200 (18ms, 293984B)
[2026-03-14T16:24:50.269Z] GET http://localhost:4400/@id/astro/runtime/client/dev-toolbar/entrypoint.js → 200 (22ms, 9662B)
[2026-03-14T16:24:50.269Z] GET http://localhost:4400/src/styles/global.css → 200 (25ms, 32794B)
[2026-03-14T16:24:50.269Z] GET http://localhost:4400/artifacts/red-cross-wwi-poster.jpg → 404 (36ms, 4328B)
[2026-03-14T16:24:50.269Z] GET http://localhost:4400/src/pages/exhibit/[slug].astro?astro&type=script&index=0&lang.ts → 200 (41ms, 13947B)
